month,total,pakistan_west,china_east,us_trade,gulf_energy,generation
198611,421715,0.04884815574499366,0.0056910472712613965,0.0,0.0,1.0
198612,395682,0.018954615069677164,0.010361856238090184,0.0,0.0,1.0
198701,410782,0.07084049447152017,0.0075465818852822174,0.0,0.00048687625066336893,1.0
198702,392140,0.02805120620186668,0.005100219309430306,0.0,0.0,1.0
198703,409331,0.02711741842176625,0.0,0.0,0.003420214936078626,1.0
198704,410044,0.009267298143613855,0.0014632576016232405,0.0007316288008116203,0.0,1.0
198705,386687,0.007758212714676212,0.009827069438589867,0.000258607090489207,0.007758212714676212,1.0
198706,409017,0.003422840615426743,0.015158294154032716,0.0,0.0,1.0
198707,398503,0.0015056348383826472,0.0,0.0,0.0,1.0
198708,374870,0.013071198015311973,0.0,0.0,0.002400832288526689,1.0
198709,421854,0.00758556277764345,0.002844586041616294,0.0,0.0009481953472054313,1.0
198710,418437,0.0009559384088883153,0.012666183917770177,0.0,0.0,1.0
198711,402198,0.04077593623041388,0.004972675150050473,0.0,0.0014918025450151417,1.0
198712,393657,0.012193356145070455,0.0012701412651115057,0.0,0.0030483390362676136,1.0
198801,414125,0.03936009658919409,0.0,0.0,0.0004829459704195593,1.0
198802,403797,0.004705334611203154,0.0002476491900633239,0.0,0.007429475701899718,1.0
198803,471953,0.013136901343989763,0.0012713130332893316,0.0,0.0,1.0
198804,453700,0.030636984791712587,0.0037469693630152083,0.0,0.0,1.0
198805,456013,0.016666191534013285,0.0008771679754743834,0.0,0.0,1.0
198806,468126,0.023925182536325692,0.0,0.0,0.0,1.0
198807,469058,0.002345125762698856,0.0051166380277065954,0.0,0.008101343543868775,1.0
198808,464194,0.030375231045640397,0.006031960775020789,0.0,0.0,1.0
198809,445602,0.013464930588282818,0.0006732465294141408,0.0008976620392188544,0.0,1.0
198810,429579,0.006983581599659202,0.014199949252640377,0.0009311442132878934,0.0,1.0
198811,420202,0.0019038462453772234,0.03117548226805203,0.0,0.0,1.0
198812,426150,0.1004341194415112,0.14455004106535257,0.0,0.008917047987797725,1.0
198901,421033,0.016625775176767617,0.005700265774891754,0.0,0.0,1.0
198902,434361,0.012432055364086555,0.005525357939594024,0.0,0.0234827712432746,1.0
198903,441737,0.034635993815324506,0.01629929120721153,0.0,0.0,1.0
198904,418652,0.0054938230320170445,0.002866342451487154,0.0004777237419145257,0.0083601654835042,1.0
198905,422945,0.019860738393881,0.007329558216789417,0.0014186241709915,0.006856683493125584,1.0
198906,371193,0.008351450593087693,0.0016164097922105212,0.0,0.0008082048961052606,1.0
198907,391141,0.13243306122344628,0.0038349342053121504,0.0,0.0,1.0
198908,416943,0.05324468812283693,0.0,0.0,0.01966695687420103,1.0
198909,418606,0.01815549705450949,0.0,0.0,0.0042999861444890895,1.0
198910,407560,0.007360879379723231,0.00907841790165865,0.0,0.0,1.0
198911,422403,0.006392000056817779,0.0,0.0,0.0,1.0
198912,411003,0.010705517964589066,0.0048661445293586665,0.0,0.0,1.0
