date,chokepoint,n_total,n_tanker,n_cargo,capacity
2019-05-18,suez,38,6,32,2556621
2019-05-19,bab_el_mandeb,61,18,43,3067816
2019-05-19,hormuz,78,53,25,3985588
2019-05-19,malacca,167,60,107,6525755
2019-05-19,suez,54,22,32,1950608
2019-05-20,bab_el_mandeb,46,12,34,2451596
2019-05-20,hormuz,65,42,23,2882318
2019-05-20,malacca,172,62,110,5701521
2019-05-20,suez,52,15,37,2532558
2019-05-21,bab_el_mandeb,52,24,28,2413129
2019-05-21,hormuz,52,32,20,3250849
2019-05-21,malacca,167,69,98,5680479
2019-05-21,suez,60,22,38,2801273
2019-05-22,bab_el_mandeb,61,21,40,2653453
2019-05-22,hormuz,68,39,29,2038218
2019-05-22,malacca,171,70,101,7599658
2019-05-22,suez,54,17,37,2990681
2019-05-23,bab_el_mandeb,45,14,31,1839892
2019-05-23,hormuz,80,53,27,3163066
2019-05-23,malacca,178,82,96,6379747
2019-05-23,suez,58,20,38,2068432
2019-05-24,bab_el_mandeb,51,20,31,2211506
2019-05-24,hormuz,88,49,39,3068688
2019-05-24,malacca,154,64,90,5292097
2019-05-24,suez,44,15,29,3164114
2019-05-25,bab_el_mandeb,61,14,47,2898674
2019-05-25,hormuz,85,50,35,4472291
2019-05-25,malacca,164,66,98,6757491
2019-05-25,suez,42,11,31,2061872
2019-05-26,bab_el_mandeb,56,17,39,2358929
2019-05-26,hormuz,78,54,24,3287221
2019-05-26,malacca,180,59,121,7093361
2019-05-26,suez,53,16,37,1774528
2019-05-27,bab_el_mandeb,46,17,29,2497059
2019-05-27,hormuz,101,62,39,5154443
2019-05-27,malacca,167,69,98,6106654
2019-05-27,suez,51,16,35,1823962
2019-05-28,bab_el_mandeb,47,18,29,2172788
2019-05-28,hormuz,64,35,29,1851668
2019-05-28,malacca,147,55,92,4975265
2019-05-28,suez,63,16,47,1927154
2019-05-29,bab_el_mandeb,46,11,35,2060842
2019-05-29,hormuz,98,52,46,3536643
2019-05-29,malacca,172,75,97,8036660
2019-05-29,suez,45,10,35,2695075
2019-05-30,bab_el_mandeb,42,15,27,1782097
2019-05-30,hormuz,102,66,36,3840402
2019-05-30,malacca,185,73,112,7474579
2019-05-30,suez,65,27,38,2245326
2019-05-31,bab_el_mandeb,46,18,28,2189977
2019-05-31,hormuz,88,52,36,3235248
2019-05-31,malacca,179,79,100,5432269
2019-05-31,suez,51,11,40,3080414
2019-06-01,bab_el_mandeb,35,12,23,1646465
2019-06-01,hormuz,42,28,14,1738311
2019-06-01,malacca,114,41,73,4821275
2019-06-01,suez,40,14,26,2198864
2019-06-02,bab_el_mandeb,58,22,36,2431669
2019-06-02,hormuz,92,58,34,3945551
2019-06-02,malacca,166,69,97,6747089
2019-06-02,suez,49,23,26,1847630
2019-06-03,bab_el_mandeb,48,20,28,3007746
2019-06-03,hormuz,104,67,37,5359688
2019-06-03,malacca,186,78,108,6123556
2019-06-03,suez,49,7,42,1893446
2019-06-04,bab_el_mandeb,59,20,39,3257097
