date,n_global,n_india,n_verbal_conflict,n_material_conflict,n_protest,goldstein_mean,mentions_sum
2017-10-01,94677,4754,660,539,38,0.856,41082
2017-10-02,169031,6319,931,871,130,0.29,52826
2017-10-03,197535,8795,1344,1698,166,-0.266,85530
2017-10-04,194242,7972,1355,1197,195,0.075,75614
2017-10-05,199117,8544,1504,1085,166,0.338,75792
2017-10-06,181047,7121,1062,998,98,0.433,65924
2017-10-07,118895,6176,888,799,109,0.401,56261
2017-10-08,103928,5430,782,625,93,0.577,50600
2017-10-09,166875,8269,1345,1126,127,0.377,83328
2017-10-10,187739,8365,1306,1072,126,0.576,80016
2017-10-11,197288,7992,1290,1254,187,0.176,76509
2017-10-12,207263,7779,1146,1144,147,0.386,71063
2017-10-13,200850,7807,1144,1214,166,0.235,79410
2017-10-14,123197,6452,1024,1015,110,-0.004,67919
2017-10-15,110257,5423,863,727,56,0.322,51616
2017-10-16,175511,7258,1144,992,93,0.378,66546
2017-10-17,207726,7488,1201,1102,129,0.235,66628
2017-10-18,199611,6187,811,821,80,0.487,50312
2017-10-19,206839,4914,653,565,59,0.79,49163
2017-10-20,201651,6270,877,809,75,0.635,54759
2017-10-21,119212,5032,790,723,98,0.242,45611
2017-10-22,111663,5625,781,741,69,0.589,51676
2017-10-23,197448,7826,1130,902,88,0.795,72254
2017-10-24,207608,8215,1104,835,121,1.057,76933
2017-10-25,210641,9568,1315,1163,120,0.663,99377
2017-10-26,215229,9009,1381,1313,110,0.322,80066
2017-10-27,195246,8663,1346,1270,104,0.372,71770
2017-10-28,117350,7509,1132,928,95,0.561,68771
2017-10-29,108236,6230,953,765,125,0.402,64723
2017-10-30,186795,8485,1315,981,152,0.619,75514
2017-10-31,209527,8178,1234,1046,120,0.614,72958
2017-11-01,217111,8624,1225,1219,115,0.579,76297
2017-11-02,209467,8863,1237,1253,111,0.57,80528
2017-11-03,207361,8821,1181,1080,95,0.824,77478
2017-11-04,124023,6564,976,912,74,0.506,53055
2017-11-05,112207,5343,801,855,79,0.254,45029
2017-11-06,189682,8952,1308,1129,124,0.696,79540
2017-11-07,216745,9143,1319,1276,163,0.452,82792
2017-11-08,220432,9247,1576,1361,306,0.203,93015
2017-11-09,218733,8472,1333,1112,129,0.431,80559
2017-11-10,213569,8462,1386,1072,173,0.467,79054
2017-11-11,134095,6785,942,886,79,0.525,61617
2017-11-12,119112,6075,922,901,111,0.265,58303
2017-11-13,189695,8640,1289,1141,167,0.422,88323
2017-11-14,212381,8968,1434,1143,127,0.414,83526
2017-11-15,217441,9427,1426,1219,187,0.401,90523
2017-11-16,209147,8422,1378,988,229,0.637,75838
2017-11-17,200440,8673,1434,1092,207,0.557,81206
2017-11-18,124096,6751,1128,1039,172,0.139,60358
2017-11-19,106910,5421,803,956,119,-0.064,47029
2017-11-20,176250,8530,1553,1103,240,0.451,74620
2017-11-21,206617,9572,1751,1488,157,0.084,90223
2017-11-22,202786,9027,1600,1328,150,0.196,88166
2017-11-23,157785,8791,1391,1210,146,0.567,86185
2017-11-24,155555,8571,1590,1359,143,0.062,82169
2017-11-25,102359,6399,1132,1030,133,-0.003,56051
2017-11-26,96875,5856,959,931,71,0.053,56046
2017-11-27,169809,8541,1425,1149,121,0.532,78561
2017-11-28,205685,9323,1469,1154,132,0.639,95049
2017-11-29,217768,9336,1422,1366,151,0.452,87891
2017-11-30,211088,7708,1159,1166,95,0.218,69969
2017-12-01,198981,8176,1111,1111,74,0.48,85882
2017-12-02,123112,6869,1059,825,104,0.483,64826
2017-12-03,100751,5921,922,869,83,0.253,58464
