date,placebo_cricket,placebo_entertainment
2022-11-14,0.062,0.0479
2022-11-15,0.0382,0.0587
2022-11-16,0.0321,0.0627
2022-11-17,0.0349,0.0554
2022-11-18,0.036,0.0668
2022-11-19,0.0551,0.0944
2022-11-20,0.0352,0.0981
2022-11-21,0.0127,0.0714
2022-11-22,0.0207,0.0565
2022-11-23,0.0175,0.0474
2022-11-24,0.0179,0.0767
2022-11-25,0.0134,0.0716
2022-11-26,0.0333,0.1103
2022-11-27,0.0213,0.083
2022-11-28,0.0297,0.0826
2022-11-29,0.0214,0.0846
2022-11-30,0.0108,0.0668
2022-12-01,0.0195,0.0692
2022-12-02,0.0365,0.0608
2022-12-03,0.0576,0.1164
2022-12-04,0.0255,0.0695
2022-12-05,0.0206,0.0835
2022-12-06,0.0304,0.0559
2022-12-07,0.0252,0.0526
2022-12-08,0.0346,0.0792
2022-12-09,0.0212,0.0757
2022-12-10,0.0322,0.0727
2022-12-11,0.0342,0.0935
2022-12-12,0.043,0.0751
2022-12-13,0.0392,0.0536
2022-12-14,0.0365,0.0491
2022-12-15,0.0253,0.0647
2022-12-16,0.0353,0.0707
2022-12-17,0.0386,0.0838
2022-12-18,0.0611,0.095
2022-12-19,0.0294,0.0833
2022-12-20,0.0184,0.0704
2022-12-21,0.0496,0.0496
2022-12-22,0.0466,0.0684
2022-12-23,0.0888,0.0731
2022-12-24,0.0595,0.0732
2022-12-25,0.0681,0.0901
2022-12-26,0.0548,0.0996
2022-12-27,0.0216,0.0868
2022-12-28,0.024,0.0783
2022-12-29,0.0361,0.0903
2022-12-30,0.0383,0.0844
2022-12-31,0.033,0.1487
2023-01-01,0.0946,0.0953
2023-01-02,0.03,0.0788
2023-01-03,0.0258,0.0536
2023-01-04,0.022,0.121
2023-01-05,0.0191,0.0614
2023-01-06,0.0262,0.057
2023-01-07,0.0532,0.0743
2023-01-08,0.0424,0.1158
2023-01-09,0.0263,0.1171
2023-01-10,0.0186,0.0983
2023-01-11,0.0157,0.1296
2023-01-12,0.0202,0.0855
2023-01-13,0.0162,0.1023
2023-01-14,0.0306,0.1377
2023-01-15,0.0357,0.1233
2023-01-16,0.0405,0.1066
2023-01-17,0.0211,0.1267
2023-01-18,0.0204,0.1132
2023-01-19,0.011,0.1057
2023-01-20,0.0207,0.1429
2023-01-21,0.0192,0.1808
2023-01-22,0.0538,0.1694
2023-01-23,0.0372,0.159
2023-01-24,0.0408,0.1807
2023-01-25,0.0244,0.1948
2023-01-26,0.0218,0.1516
2023-01-27,0.0299,0.1778
2023-01-28,0.0518,0.2179
2023-01-29,0.0818,0.2132
2023-01-30,0.0463,0.1855
2023-01-31,0.0528,0.1297
2023-02-01,0.0263,0.1225
2023-02-02,0.0561,0.1199
2023-02-03,0.0224,0.2066
2023-02-04,0.031,0.191
2023-02-05,0.0759,0.2004
2023-02-06,0.0255,0.1643
2023-02-07,0.0339,0.1245
2023-02-08,0.0192,0.1183
2023-02-09,0.0311,0.115
2023-02-10,0.0342,0.1189
2023-02-11,0.0553,0.1975
2023-02-12,0.1024,0.1411
2023-02-13,0.0764,0.1199
2023-02-14,0.0363,0.1094
2023-02-15,0.0445,0.081
2023-02-16,0.033,0.098
2023-02-17,0.046,0.0986
2023-02-18,0.0655,0.155
2023-02-19,0.121,0.1311
2023-02-20,0.0552,0.1301
2023-02-21,0.0375,0.1276
2023-02-22,0.0554,0.0823
2023-02-23,0.0584,0.0894
2023-02-24,0.0355,0.0855
2023-02-25,0.0487,0.0869
2023-02-26,0.0652,0.0951
2023-02-27,0.0477,0.0694
