channel,query_month,rank,analog_month,distance,n_features_used,features_used,features_excluded_as_null
pakistan_west,1982-03,3,1981-05,0.041227,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-03,4,1996-03,0.050937,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-03,5,2015-11,0.052814,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-04,1,2006-10,0.027302,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-04,2,1983-02,0.03709,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-04,3,1993-12,0.084764,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-04,4,1988-03,0.102705,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-04,5,2006-08,0.105178,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-05,1,1983-04,0.019128,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-05,2,1983-06,0.030601,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-05,3,1983-07,0.030889,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-05,4,1981-05,0.041358,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-05,5,1994-01,0.044349,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-06,1,1983-04,0.013346,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-06,2,1994-01,0.032761,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-06,3,1983-06,0.041664,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-06,4,1983-07,0.042544,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-06,5,1981-05,0.050296,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-07,1,1988-03,0.046128,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-07,2,1983-02,0.064256,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-07,3,2006-10,0.081234,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-07,4,1980-05,0.111722,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-07,5,2014-08,0.124276,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-08,1,2006-08,0.033715,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-08,2,1993-12,0.052422,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-08,3,2013-07,0.057895,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-08,4,1981-02,0.083714,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-08,5,1995-06,0.089025,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-09,1,2006-10,0.03127,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-09,2,1988-03,0.059869,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-09,3,1980-02,0.059974,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-09,4,1993-12,0.108967,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-09,5,2006-08,0.109299,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-10,1,1988-06,0.042976,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-10,2,1988-04,0.073559,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-10,3,1992-08,0.112528,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-10,4,1980-03,0.115673,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-10,5,2014-12,0.116016,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-11,1,1993-10,0.044218,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-11,2,2008-09,0.057828,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-11,3,2019-09,0.061398,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-11,4,1992-12,0.066054,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-11,5,2019-10,0.068591,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-12,1,2008-09,0.016918,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-12,2,1992-12,0.034383,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-12,3,2019-09,0.048029,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-12,4,2008-07,0.058644,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-12,5,2013-10,0.096217,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-01,1,1981-01,0.055014,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-01,2,1988-11,0.192568,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-01,3,1993-08,0.196519,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-01,4,2005-11,0.258899,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-01,5,1992-05,0.309263,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-02,1,2006-10,0.017058,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-02,2,1982-04,0.03709,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-02,3,1982-07,0.064256,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-02,4,1988-03,0.06569,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-02,5,1980-02,0.093157,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-03,1,1988-10,0.068449,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-03,2,1981-05,0.083854,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-03,3,2015-04,0.093833,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-03,4,1992-10,0.0968,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-03,5,1982-05,0.102108,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-04,1,1982-06,0.013346,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-04,2,1982-05,0.019128,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-04,3,1994-01,0.030996,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-04,4,1981-05,0.060479,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-04,5,1982-03,0.064604,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-05,1,1981-05,0.042278,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-05,2,1982-05,0.048446,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-05,3,1982-06,0.060022,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-05,4,1982-03,0.080195,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-05,5,1994-01,0.091699,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-06,1,1982-05,0.030601,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-06,2,1981-05,0.041229,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-06,3,1982-06,0.041664,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-06,4,1982-03,0.07153,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-06,5,1994-01,0.072454,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-07,1,1982-05,0.030889,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-07,2,1981-05,0.033377,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-07,3,1982-06,0.042544,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-07,4,1982-03,0.066033,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-07,5,1994-01,0.074632,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-08,1,1981-05,0.056456,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-08,2,1982-05,0.075457,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-08,3,1982-06,0.087174,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
